"ID","Recency","Frequency","Monetary","Time","Churn"
1,6.7,4,25.125,18.2,0
2,18.1,1,14.96,18.1,0
3,17.8,2,37.555,18.2,0
4,18.2,1,6.79,18.2,0
5,17.1666666666667,1,21.75,17.1666666666667,0
6,18.2,1,13.97,18.2,0
7,18.2,1,23.94,18.2,0
8,0.366666666666667,16,69.19,18.2,1
9,17.0333333333333,2,11.77,18.2,0
10,3.86666666666667,3,19.89,18.2,0
11,4.66666666666667,5,24.986,18.2,0
12,18.2,1,30.32,18.2,0
13,7.73333333333333,7,28.4528571428571,18.2,0
14,18.2,1,13.97,18.2,0
15,1.16666666666667,8,21.6475,18.2,1
16,6.76666666666667,8,23.3075,17.6,0
17,18.2,1,43.7,18.2,0
18,18.2,1,15.76,18.2,0
19,4.33333333333333,2,66.815,17.8666666666667,0
20,18.2,1,12.49,18.2,0
21,1.9,6,28.3533333333333,18.1666666666667,1
22,5.86666666666667,13,26.1376923076923,18.2,1
23,17.0666666666667,2,11.98,18.2,0
24,18.1666666666667,1,17.96,18.1666666666667,0
25,14.7666666666667,3,26.5266666666667,18.1666666666667,0
26,18.1666666666667,1,8.77,18.1666666666667,0
27,18.1666666666667,1,14.7,18.1666666666667,0
28,18.1666666666667,1,14.96,18.1666666666667,0
29,6.4,2,51.365,18.1666666666667,0
30,17.8,3,77.0433333333333,18.1666666666667,0
31,18.1666666666667,1,15.9,18.1666666666667,0
32,11.3,2,53.3,18.1666666666667,0
33,18.1666666666667,1,46.37,18.1666666666667,0
34,16.8,2,34.615,18.1666666666667,0
35,18.1666666666667,1,44.77,18.1666666666667,0
36,18.1666666666667,1,10.77,18.1666666666667,0
37,18.1666666666667,1,25.99,18.1666666666667,0
38,18.1666666666667,1,14.99,18.1666666666667,0
39,0.566666666666667,3,34.1333333333333,18.1666666666667,0
40,18.1666666666667,1,14.96,18.1666666666667,0
41,0.933333333333333,10,21.925,18.0333333333333,1
42,18.1666666666667,1,34.97,18.1666666666667,0
43,18.1333333333333,1,11.77,18.1333333333333,0
44,17.6666666666667,2,30.485,18.1666666666667,0
45,8.83333333333333,2,16.175,18.1666666666667,0
46,18.1666666666667,1,14.99,18.1666666666667,0
47,18.1333333333333,1,11.97,18.1333333333333,0
48,18.1333333333333,1,45.67,18.1333333333333,0
49,18.1333333333333,1,49.67,18.1333333333333,0
50,12.4333333333333,2,11.965,18.1333333333333,0
51,1.03333333333333,24,27.41125,18.1333333333333,1
52,18.1333333333333,1,14.37,18.1333333333333,0
53,17.6666666666667,1,11.77,17.6666666666667,0
54,18.1333333333333,1,12.49,18.1333333333333,0
55,1.43333333333333,36,28.4725,17.1,1
56,17.7666666666667,2,16.135,18.1333333333333,0
57,18.1333333333333,1,27.92,18.1333333333333,0
58,3.46666666666667,4,25.295,18.1,0
59,2.7,3,56.63,18.1333333333333,0
60,18.1333333333333,1,24.99,18.1333333333333,0
61,2.73333333333333,2,23.69,18.1333333333333,0
62,18.1,1,121.34,18.1,0
63,18,1,34.98,18,0
64,18.1333333333333,1,28.74,18.1333333333333,0
65,18.1333333333333,1,52.99,18.1333333333333,0
66,10.4,3,23.4733333333333,18.1333333333333,0
67,2.4,3,17.81,18.1333333333333,0
68,6.36666666666667,10,39.48,18.1,0
69,18.1,1,186.67,18.1,0
70,5.73333333333333,4,35.545,17.9,0
71,3.1,3,33.1466666666667,18.1,0
72,18.1,1,13.97,18.1,0
73,18.1,1,35.31,18.1,0
74,18.1,1,21.98,18.1,0
75,7.7,4,116.615,18.1,0
76,18.1,1,24.94,18.1,0
77,17.8,1,26.73,17.8,0
78,18.1,1,16.99,18.1,0
79,2.46666666666667,5,54.17,18.1,0
80,18.1,1,145.47,18.1,0
81,18.1,1,12.77,18.1,0
82,6.86666666666667,3,45.53,18.1,0
83,18.1,1,14.99,18.1,0
84,16.9,2,37.115,18.1,0
85,18.1,1,117.1,18.1,0
86,18.1,1,18.36,18.1,0
87,18.0666666666667,1,14.96,18.0666666666667,0
88,14.1333333333333,4,18.655,18.0666666666667,0
89,18.0666666666667,1,96.36,18.0666666666667,0
90,18.0666666666667,1,33.96,18.0666666666667,0
91,16.3333333333333,2,54.465,18.0666666666667,0
92,18.0666666666667,1,21.76,18.0666666666667,0
93,18.0666666666667,1,14.96,18.0666666666667,0
94,18.0666666666667,1,14.99,18.0666666666667,0
95,0.466666666666667,12,25.1083333333333,18.0666666666667,1
96,18.0666666666667,1,0,18.0666666666667,0
97,3.9,18,10.6005555555556,18.0666666666667,1
98,18.0333333333333,1,19.99,18.0333333333333,0
99,17.3333333333333,1,14.96,17.3333333333333,0
100,18.0666666666667,1,71.63,18.0666666666667,0
101,18.0666666666667,1,37.97,18.0666666666667,0
102,10.3,2,47.465,18.0666666666667,0
103,2.46666666666667,8,51.91125,18.0666666666667,0
104,18.0666666666667,1,34.9,18.0666666666667,0
105,18.0666666666667,1,43.09,18.0666666666667,0
106,18.0666666666667,1,31.51,18.0666666666667,0
107,18.0666666666667,1,56.51,18.0666666666667,0
108,18.0666666666667,1,36.36,18.0666666666667,0
109,5.13333333333333,5,26.514,18.0666666666667,0
110,1.9,8,25.25625,18.0666666666667,1
111,12.5,2,21.605,18.0666666666667,0
112,18.0333333333333,1,34.74,18.0333333333333,0
113,18.0333333333333,1,22.7,18.0333333333333,0
114,12.4,2,86.005,18.0333333333333,0
115,16.6,2,52.3,18.0333333333333,0
116,16.8666666666667,1,90.56,16.8666666666667,0
117,18.0333333333333,1,125.82,18.0333333333333,0
118,18.0333333333333,1,32.98,18.0333333333333,0
119,17.9666666666667,2,33.11,18.0333333333333,0
120,7.83333333333333,2,35.985,18.0333333333333,0
121,0.9,3,11.84,18.0333333333333,0
122,18.0333333333333,1,156,18.0333333333333,0
123,18.0333333333333,1,11.77,18.0333333333333,0
124,12.4,2,19.68,18.0333333333333,0
125,18.0333333333333,1,29.33,18.0333333333333,0
126,1.2,4,27.5025,18.0333333333333,0
127,18.0333333333333,1,8.77,18.0333333333333,0
128,17.9333333333333,1,166.3,17.9333333333333,0
129,6.66666666666667,4,117.86,17.7666666666667,0
130,18.0333333333333,1,11.77,18.0333333333333,0
131,16.6,1,17.3,16.6,0
132,18.0333333333333,1,9.98,18.0333333333333,0
133,18.0333333333333,1,19.77,18.0333333333333,0
134,18,1,28.37,18,0
135,17.3333333333333,2,14.865,18.0333333333333,0
136,18.0333333333333,1,163.52,18.0333333333333,0
137,14.9666666666667,2,87.69,17.3666666666667,0
138,18.0333333333333,1,24.99,18.0333333333333,0
139,18.0333333333333,1,14.96,18.0333333333333,0
140,4.6,3,18.3966666666667,18.0333333333333,0
141,18,1,10.77,18,0
142,16.2333333333333,5,12.254,18,0
143,11.9333333333333,4,17.71,18,0
144,7.76666666666667,2,58.405,18,0
145,12.4,2,49.825,18,0
146,0.733333333333333,8,12.24625,18,1
147,1.23333333333333,2,12.38,18,0
148,4.66666666666667,4,33.15,18,0
149,16.2666666666667,3,30.6433333333333,18,0
150,18,1,12.97,18,0
151,1.9,7,51.8357142857143,18,1
152,17.5,2,20.55,18,0
153,14.3333333333333,2,17.655,18,0
154,18,1,79.99,18,0
155,4.9,8,34.35375,18,0
156,11.3333333333333,3,19.0166666666667,18,0
157,0.733333333333333,13,34.3753846153846,18,1
158,9.66666666666667,3,17.6366666666667,18,0
159,18,1,70.42,18,0
160,6.73333333333333,7,21.2014285714286,18,1
161,3.66666666666667,21,25.5257142857143,18,1
162,2.13333333333333,7,22.0142857142857,18,0
163,7.3,7,28.01,18,0
164,9.76666666666667,5,22.308,18,0
165,18,1,30.97,18,0
166,17.6,1,35.31,17.6,0
167,18,1,11.77,18,0
168,17.3333333333333,2,16.03,18,0
169,14.0666666666667,2,60.78,17.6333333333333,0
170,18,1,0,18,0
171,16.5,2,23.045,18,0
172,0.666666666666667,47,23.9082978723404,18,1
173,17.9333333333333,1,12.49,17.9333333333333,0
174,17.9666666666667,1,14.37,17.9666666666667,0
175,12.2,4,42.53,17.9666666666667,0
176,17.9666666666667,1,31.54,17.9666666666667,0
177,0.733333333333333,2,39.21,17.9666666666667,0
178,17.5,2,36.21,17.9666666666667,0
179,17.9666666666667,1,73.3,17.9666666666667,0
180,2.86666666666667,17,53.6182352941176,17.9666666666667,1
181,17.9666666666667,2,26.86,17.9666666666667,0
182,5.1,2,50.52,17.9666666666667,0
183,1.63333333333333,30,31.9516666666667,17.9666666666667,1
184,1.83333333333333,15,32.612,17.9333333333333,1
185,17.9666666666667,1,14.37,17.9666666666667,0
186,17.9666666666667,1,25.77,17.9666666666667,0
187,2.7,4,15.49,17.9666666666667,0
188,17.9666666666667,1,64.99,17.9666666666667,0
189,17.9666666666667,1,51.37,17.9666666666667,0
190,17.9666666666667,1,93.57,17.9666666666667,0
191,17.9666666666667,1,18.36,17.9666666666667,0
192,17.9666666666667,1,6.79,17.9666666666667,0
193,2.8,17,48.2582352941176,17.9333333333333,1
194,17.9333333333333,1,17.96,17.9333333333333,0
195,17.9333333333333,1,15.76,17.9333333333333,0
196,6.5,4,22.505,17.6333333333333,0
197,17.9333333333333,1,12.97,17.9333333333333,0
198,1.8,5,16.814,17.9333333333333,0
199,17.9333333333333,1,8.77,17.9333333333333,0
