"ID","Recency (months)","Frequency (times)","Monetary ($)","Time (months)","Churn (0/1)","(T-R)/(F-1)","E[X[L]|L=1]","P[B]","(E[X|L=1]-P[B])^2"
1559,0.7,46,32.1763043478261,16.3666666666667,1,0.348148148148149,1.50893230179366,1,0.259012087808997
1244,0.166666666666667,47,32.7187234042553,16.7333333333333,1,0.360144927536231,1.49387807880037,0.875,0.383010076419634
172,0.666666666666667,47,23.9082978723404,18,1,0.376811594202899,1.43517203410351,0.888888888888889,0.298425274745579
55,1.43333333333333,36,28.4725,17.1,1,0.447619047619048,1.16788745575874,0.9,0.0717636889528915
351,2.16666666666667,35,29.222,17.7333333333333,1,0.457843137254901,1.12799301299524,0.909090909090909,0.0479181310937433
845,0.366666666666667,33,33.7151515151515,17.1333333333333,1,0.523958333333332,1.03678338801121,0.916666666666667,0.0144280267465621
183,1.63333333333333,30,31.9516666666667,17.9666666666667,1,0.563218390804599,0.942116855260527,0.923076923076923,0.000362519017556248
846,15.8333333333333,12,20.7191666666667,17.1333333333333,0,0.118181818181818,0.881413511574595,0.923076923076923,0.00173583985801229
547,5.03333333333333,24,80.9825,17.5,1,0.542028985507247,0.861002234103704,0.923076923076923,0.00385326701112183
1059,0.233333333333333,27,15.142962962963,16.9333333333333,1,0.642307692307691,0.852418665178361,0.923076923076923,0.00499258940925968
300,0.4,25,20.6932,16.3333333333333,1,0.663888888888888,0.814056974529586,0.923076923076923,0.011885349181264
1746,0.2,24,33.12625,16.1666666666667,1,0.694202898550726,0.78270355354882,0.923076923076923,0.0197046828726734
1337,0.4,24,26.7920833333333,16.6333333333333,1,0.705797101449274,0.771234619551423,0.923076923076923,0.0230560851399302
1458,3.83333333333333,21,20.3042857142857,16.5,1,0.633333333333334,0.759208589562977,0.923076923076923,0.026852830728638
734,3.36666666666667,22,37.6036363636364,17.3,1,0.663492063492063,0.751620542534174,0.923076923076923,0.02939729042882
51,1.03333333333333,24,27.41125,18.1333333333333,1,0.743478260869564,0.735973879094298,0.923076923076923,0.035007549067564
906,1.46666666666667,22,25.6531818181818,17.1,1,0.744444444444444,0.714418195205647,0.846153846153846,0.0173542817307459
1284,0.5,22,19.1922727272727,16.6666666666667,1,0.769841269841271,0.707962880792863,0.846153846153846,0.0190967429074004
161,3.66666666666667,21,25.5257142857143,18,1,0.716666666666667,0.700574210943191,0.846153846153846,0.0211934301880673
416,0.2,22,28.3745454545455,17.6666666666667,1,0.831746031746033,0.672792056090439,0.846153846153846,0.0300543102539889
525,11.8666666666667,13,25.3738461538462,17.4333333333333,0,0.463888888888884,0.658817229820708,0.846153846153846,0.0350950078191494
628,5.73333333333333,16,65.03,16.5333333333333,1,0.719999999999998,0.622309417038697,0.846153846153846,0.050106328445887
521,9.8,14,41.5635714285714,17.5333333333333,0,0.594871794871792,0.621486868008861,0.846153846153846,0.0504752510687992
1082,1.2,19,22.2315789473684,16.8,1,0.866666666666667,0.620418680370119,0.846153846153846,0.0509563650714069
590,0.0666666666666667,20,39.626,17.4666666666667,1,0.915789473684212,0.614564086521648,0.846153846153846,0.0536338167664993
298,5.6,17,15.1617647058824,17.8,1,0.7625,0.613244772870585,0.846153846153846,0.0542466364176673
1174,0.466666666666667,19,47.0152631578947,16.8,1,0.907407407407407,0.607288211874233,0.846153846153846,0.0570567912398019
97,3.9,18,10.6005555555556,18.0666666666667,1,0.833333333333335,0.603176680388238,0.923076923076923,0.10233616527228
1128,3.66666666666667,17,55.3223529411765,16.8666666666667,1,0.825000000000002,0.599565369902736,0.923076923076923,0.104659725037175
1167,5,16,42.883125,16.8333333333333,1,0.788888888888887,0.594003830438946,0.923076923076923,0.108289100298323
1335,0.266666666666667,18,54.1755555555556,16.6333333333333,1,0.962745098039214,0.576230442322984,0.923076923076923,0.120302481211393
1120,1.5,17,95.5905882352941,16.8666666666667,1,0.960416666666669,0.558465429606393,0.923076923076923,0.132941541170811
180,2.86666666666667,17,53.6182352941176,17.9666666666667,1,0.943750000000002,0.55376570367627,0.923076923076923,0.136390776775197
193,2.8,17,48.2582352941176,17.9333333333333,1,0.945833333333331,0.553474428795003,0.846153846153846,0.0856612413455121
1242,0.7,17,35.8129411764706,16.7333333333333,1,1.00208333333333,0.548621685725048,0.846153846153846,0.0885253864894279
1204,0.233333333333333,17,30.6617647058824,16.7666666666667,0,1.03333333333334,0.540571945003244,0.846153846153846,0.0933802983108163
796,7.96666666666667,13,68.8784615384615,17.2333333333333,1,0.772222222222219,0.536034467903764,0.846153846153846,0.0961740287662175
1665,1,16,34.251875,16.2666666666667,1,1.01777777777778,0.53202159388941,0.846153846153846,0.0986790719127275
1597,2.53333333333333,15,43.0786666666667,16.3,1,0.983333333333334,0.523207006843706,0.846153846153846,0.10429466102041
267,16.6333333333333,7,141.468571428571,17.8333333333333,0,0.2,0.514476877855173,0.846153846153846,0.110009611299799
1287,2.36666666666667,15,26.174,16.6666666666667,1,1.02142857142857,0.511152565176287,0.846153846153846,0.112225858256606
561,0.733333333333333,16,19.89875,17.5,1,1.11777777777778,0.499904858182118,0.846153846153846,0.119888361671446
314,3.26666666666667,15,25.1533333333333,17.8,1,1.03809523809524,0.498683940364454,0.923076923076923,0.180109403775586
1671,0.666666666666667,15,24.2326666666667,16.2666666666667,1,1.11428571428572,0.49376829555634,0.923076923076923,0.184305897663606
1274,2.8,14,51.4228571428571,16.6666666666667,1,1.06666666666667,0.483988030463271,0.923076923076923,0.192799055616683
8,0.366666666666667,16,69.19,18.2,1,1.18888888888889,0.480753082950449,0.923076923076923,0.195650379544231
1517,3.76666666666667,13,25.2184615384615,16.1,1,1.02777777777778,0.478735276490039,0.923076923076923,0.197439498891543
184,1.83333333333333,15,32.612,17.9333333333333,1,1.15,0.474460433328841,0.923076923076923,0.201256754873891
488,3.46666666666667,14,50.3064285714286,17.5666666666667,1,1.08461538461539,0.473739569588803,0.846153846153846,0.138692393389464
789,2.8,14,41.1021428571429,17.1666666666667,1,1.10512820512821,0.472455656846421,0.846153846153846,0.139650336691648
22,5.86666666666667,13,26.1376923076923,18.2,1,1.02777777777778,0.463779464193766,0.846153846153846,0.146210167979353
1601,0.266666666666667,14,110.591428571429,16.3333333333333,1,1.23589743589743,0.454106514022845,0.846153846153846,0.153701110631036
336,16.7666666666667,6,46.6966666666667,17.7666666666667,0,0.2,0.451647632773224,0.846153846153846,0.155635152395917
1220,0.566666666666667,14,35.6471428571429,16.7666666666667,1,1.24615384615385,0.44941062915298,0.846153846153846,0.157405180236196
1240,8.9,10,25.486,16.7333333333333,0,0.870370370370366,0.44688469703476,0.846153846153846,0.159415853438279
984,1.83333333333333,13,17.5692307692308,17,1,1.26388888888889,0.428816916722623,0.846153846153846,0.174170112667082
1716,0.566666666666667,13,85.2169230769231,16.2,1,1.30277777777778,0.427937722399933,0.846153846153846,0.174904726167748
844,1.9,13,117.349230769231,17.1666666666667,1,1.27222222222223,0.426427532205031,0.846153846153846,0.176170178621059
720,1.93333333333333,13,20.0638461538462,17.3,1,1.28055555555556,0.424274006520841,0.769230769230769,0.118995168139314
232,0.133333333333333,14,57.9164285714286,17.9,1,1.36666666666667,0.423299190601697,0.769230769230769,0.119668657092802
436,2.33333333333333,13,44.4630769230769,17.6333333333333,1,1.275,0.422999570969738,0.692307692307692,0.0725268642185784
1170,1.1,13,34.6292307692308,16.8333333333333,1,1.31111111111111,0.422602858175668,0.769230769230769,0.120150908722423
1415,0.633333333333333,13,33.2315384615385,16.5333333333333,1,1.325,0.422443887723558,0.692307692307692,0.0728264730246238
