"ID","Recency (months)","Frequency (times)","Monetary ($)","Time (months)","Churn (0/1)","(T-R)/(F-1)","E[X[L]|L=1]","P[B]","(E[X|L=1]-P[B])^2"
1244,0.166666666666667,47,32.7187234042553,16.7333333333333,1,0.360144927536231,5.84261940480441,1,23.4509626997882
1559,0.7,46,32.1763043478261,16.3666666666667,1,0.348148148148149,5.562410941865,1,20.8155936024495
172,0.666666666666667,47,23.9082978723404,18,1,0.376811594202899,5.35154107664962,1,18.9359097417689
55,1.43333333333333,36,28.4725,17.1,1,0.447619047619048,3.99333456987215,1,8.96005184719168
845,0.366666666666667,33,33.7151515151515,17.1333333333333,1,0.523958333333332,3.97637286729045,1,8.85879544514275
351,2.16666666666667,35,29.222,17.7333333333333,1,0.457843137254901,3.57566591582694,1,6.63405490995261
1059,0.233333333333333,27,15.142962962963,16.9333333333333,1,0.642307692307691,3.31323968994749,1,5.35107786314837
183,1.63333333333333,30,31.9516666666667,17.9666666666667,1,0.563218390804599,3.16656897809904,1,4.69402113686113
300,0.4,25,20.6932,16.3333333333333,1,0.663888888888888,3.09885138575857,1,4.40517713950067
1746,0.2,24,33.12625,16.1666666666667,1,0.694202898550726,3.04174817247317,1,4.16873559979754
1337,0.4,24,26.7920833333333,16.6333333333333,1,0.705797101449274,2.94024281832596,1,3.76454219406545
1284,0.5,22,19.1922727272727,16.6666666666667,1,0.769841269841271,2.67061025417133,1,2.7909386213424
51,1.03333333333333,24,27.41125,18.1333333333333,1,0.743478260869564,2.64025806413542,1,2.69044651696127
416,0.2,22,28.3745454545455,17.6666666666667,1,0.831746031746033,2.63328878246489,1,2.66763224692563
590,0.0666666666666667,20,39.626,17.4666666666667,1,0.915789473684212,2.43777204052053,0.909090909090909,2.33686600158896
906,1.46666666666667,22,25.6531818181818,17.1,1,0.744444444444444,2.43404022783338,0.909090909090909,2.32547042473313
1174,0.466666666666667,19,47.0152631578947,16.8,1,0.907407407407407,2.30057243171949,0.909090909090909,1.93622082781676
1335,0.266666666666667,18,54.1755555555556,16.6333333333333,1,0.962745098039214,2.22851148887174,0.909090909090909,1.74087066634918
1082,1.2,19,22.2315789473684,16.8,1,0.866666666666667,2.17200479610644,0.909090909090909,1.59495148601667
1204,0.233333333333333,17,30.6617647058824,16.7666666666667,0,1.03333333333334,2.09945902905321,0.909090909090909,1.41697626102259
734,3.36666666666667,22,37.6036363636364,17.3,1,0.663492063492063,2.08752683753448,0.909090909090909,1.38871123744666
1242,0.7,17,35.8129411764706,16.7333333333333,1,1.00208333333333,2.02617659655975,0.909090909090909,1.24788043314774
547,5.03333333333333,24,80.9825,17.5,1,0.542028985507247,1.99665063461343,0.909090909090909,1.18278615657861
1458,3.83333333333333,21,20.3042857142857,16.5,1,0.633333333333334,1.99386318278327,0.909090909090909,1.17673088577168
1665,1,16,34.251875,16.2666666666667,1,1.01777777777778,1.8977907175901,0.909090909090909,0.977527311326337
1120,1.5,17,95.5905882352941,16.8666666666667,1,0.960416666666669,1.89356201407332,1,0.798453072994767
161,3.66666666666667,21,25.5257142857143,18,1,0.716666666666667,1.89127511671803,1,0.794371333680732
8,0.366666666666667,16,69.19,18.2,1,1.18888888888889,1.85275675190821,1,0.727194077925035
561,0.733333333333333,16,19.89875,17.5,1,1.11777777777778,1.84653321284128,1,0.716618480443372
1671,0.666666666666667,15,24.2326666666667,16.2666666666667,1,1.11428571428572,1.825790033943,1,0.681929180159582
1601,0.266666666666667,14,110.591428571429,16.3333333333333,1,1.23589743589743,1.7536092518969,1,0.567926904544605
1220,0.566666666666667,14,35.6471428571429,16.7666666666667,1,1.24615384615385,1.68401557360947,1,0.467877304940298
232,0.133333333333333,14,57.9164285714286,17.9,1,1.36666666666667,1.6703564268491,1,0.449377739017887
193,2.8,17,48.2582352941176,17.9333333333333,1,0.945833333333331,1.64037410612195,1,0.410078995791486
180,2.86666666666667,17,53.6182352941176,17.9666666666667,1,0.943750000000002,1.62976112800133,1,0.396599078341513
1128,3.66666666666667,17,55.3223529411765,16.8666666666667,1,0.825000000000002,1.60740415059091,1,0.36893980215507
1716,0.566666666666667,13,85.2169230769231,16.2,1,1.30277777777778,1.59895719735735,1,0.358749724266166
97,3.9,18,10.6005555555556,18.0666666666667,1,0.833333333333335,1.58829118401147,1,0.346086517185615
1597,2.53333333333333,15,43.0786666666667,16.3,1,0.983333333333334,1.58117435206122,1,0.33776362749378
1287,2.36666666666667,15,26.174,16.6666666666667,1,1.02142857142857,1.57638285849565,1,0.33221719956762
1415,0.633333333333333,13,33.2315384615385,16.5333333333333,1,1.325,1.56982155812236,1,0.324696608100996
184,1.83333333333333,15,32.612,17.9333333333333,1,1.15,1.5605465561781,1,0.314212441643128
1170,1.1,13,34.6292307692308,16.8333333333333,1,1.31111111111111,1.49575780927966,0.909090909090909,0.344178051777082
157,0.733333333333333,13,34.3753846153846,18,1,1.43888888888889,1.47230347743017,0.909090909090909,0.317208397135309
